timestamp,source_ip,destination_ip,protocol,port,size_bytes,http.host,http.request.uri,http.request.method,raw_payload,status
2025-06-10T15:18:29.098226,192.168.1.111,10.0.0.126,TCP,443,420,newsportal.org,/products,POST,session_token_abc,normal
2025-06-10T15:18:29.112903,192.168.1.41,10.0.0.182,TCP,80,256,securebank.com,/products,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.123187,192.168.1.161,10.0.0.129,TCP,443,415,api.service.com,/login,GET,jwt_token_hash,normal
2025-06-10T15:18:29.133680,192.168.1.45,10.0.0.3,TCP,443,195,newsportal.org,/login,GET, link=htp://badlink.com ,normal
2025-06-10T15:18:29.143984,192.168.1.25,10.0.0.120,TCP,80,429,socialmedia.net,/search?q=data,GET, email=test@domain.org ,normal
2025-06-10T15:18:29.154633,192.168.1.166,10.0.0.179,TCP,80,85,example.com,/products,GET,,normal
2025-06-10T15:18:29.164938,192.168.1.133,10.0.0.173,TCP,80,241,example.com,/login,GET,,normal
2025-06-10T15:18:29.175505,192.168.1.166,10.0.0.249,TCP,80,464,socialmedia.net,/dashboard,GET,session_token_abc,normal
2025-06-10T15:18:29.185818,192.168.1.168,10.0.0.188,TCP,443,262,api.service.com,/search?q=data,POST,session_token_abc email=malformed_email.com  link=https://secure.net ,normal
2025-06-10T15:18:29.196393,192.168.1.92,10.0.0.253,TCP,443,275,example.com,/submit,GET,jwt_token_hash,normal
2025-06-10T15:18:29.206754,192.168.1.3,10.0.0.201,TCP,443,300,newsportal.org,/products,POST,encrypted_data_xyz,normal
2025-06-10T15:18:29.217100,192.168.1.191,10.0.0.73,TCP,443,411,example.com,/login,GET,session_token_abc email=user@valid.com ,normal
2025-06-10T15:18:29.227496,192.168.1.12,10.0.0.195,TCP,80,495,darkmarket.onion,/submit,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.237832,192.168.1.171,10.0.0.34,TCP,443,306,socialmedia.net,/products,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.248370,192.168.1.26,10.0.0.141,TCP,443,90,example.com,/,GET,session_token_abc,normal
2025-06-10T15:18:29.258933,192.168.1.192,10.0.0.217,TCP,443,205,api.service.com,/dashboard,GET,,normal
2025-06-10T15:18:29.269189,192.168.1.159,10.0.0.241,TCP,443,470,newsportal.org,/submit,GET,encrypted_data_xyz email=test@domain.org ,normal
2025-06-10T15:18:29.279643,192.168.1.110,10.0.0.80,TCP,80,486,securebank.com,/search?q=data,GET,,normal
2025-06-10T15:18:29.289871,192.168.1.115,10.0.0.73,TCP,443,323,socialmedia.net,/dashboard,GET, email=malformed_email.com ,normal
2025-06-10T15:18:29.300373,192.168.1.249,10.0.0.33,TCP,443,152,newsportal.org,/submit,GET, link=https://secure.net ,normal
2025-06-10T15:18:29.310844,192.168.1.18,10.0.0.210,TCP,80,368,example.com,/search?q=data,GET,,normal
2025-06-10T15:18:29.321332,192.168.1.132,10.0.0.176,TCP,80,97,securebank.com,/products,GET, link=htp://badlink.com ,normal
2025-06-10T15:18:29.331481,192.168.1.246,10.0.0.165,TCP,80,231,securebank.com,/submit,POST,session_token_abc,normal
2025-06-10T15:18:29.341976,192.168.1.224,10.0.0.246,TCP,80,111,securebank.com,/,GET,,normal
2025-06-10T15:18:29.352564,192.168.1.156,10.0.0.133,TCP,80,216,api.service.com,/products,POST,username=test&password=password123,normal
2025-06-10T15:18:29.363127,192.168.1.205,10.0.0.243,TCP,80,170,example.com,/submit,GET,session_token_abc,normal
2025-06-10T15:18:29.373691,192.168.1.47,10.0.0.59,TCP,443,244,socialmedia.net,/submit,GET,jwt_token_hash,normal
2025-06-10T15:18:29.383908,192.168.1.222,10.0.0.251,TCP,443,300,socialmedia.net,/products,POST,session_token_abc,normal
2025-06-10T15:18:29.394424,192.168.1.129,10.0.0.195,TCP,443,94,socialmedia.net,/submit,GET,jwt_token_hash,normal
2025-06-10T15:18:29.404977,192.168.1.121,10.0.0.3,TCP,80,435,securebank.com,/login,GET,,normal
2025-06-10T15:18:29.415206,192.168.1.8,10.0.0.29,TCP,443,413,api.service.com,/login,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.425383,192.168.1.231,10.0.0.107,TCP,443,409,newsportal.org,/search?q=data,GET,jwt_token_hash,normal
2025-06-10T15:18:29.435821,192.168.1.100,10.0.0.107,TCP,443,499,socialmedia.net,/search?q=data,GET,,normal
2025-06-10T15:18:29.446131,192.168.1.234,10.0.0.83,TCP,443,159,socialmedia.net,/search?q=data,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.456408,192.168.1.126,10.0.0.196,TCP,443,337,newsportal.org,/,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.467056,192.168.1.29,10.0.0.71,TCP,443,338,example.com,/,GET,session_token_abc,normal
2025-06-10T15:18:29.477281,192.168.1.87,10.0.0.192,TCP,443,307,newsportal.org,/search?q=data,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.487874,192.168.1.26,10.0.0.201,TCP,80,106,socialmedia.net,/products,GET,,normal
2025-06-10T15:18:29.498254,192.168.1.151,10.0.0.93,TCP,443,297,socialmedia.net,/search?q=data,GET,session_token_abc email=test@domain.org ,normal
2025-06-10T15:18:29.508905,192.168.1.115,10.0.0.156,TCP,443,343,socialmedia.net,/login,GET,encrypted_data_xyz email=malformed_email.com ,normal
2025-06-10T15:18:29.519229,192.168.1.185,10.0.0.119,TCP,443,282,api.service.com,/products,GET, link=https://legit.org ,normal
2025-06-10T15:18:29.529845,192.168.1.35,10.0.0.197,TCP,443,78,example.com,/submit,GET,,normal
2025-06-10T15:18:29.540035,192.168.1.170,10.0.0.47,TCP,443,398,newsportal.org,/products,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.550610,192.168.1.131,10.0.0.69,TCP,443,223,api.service.com,/dashboard,GET, email=test@domain.org ,normal
2025-06-10T15:18:29.560973,192.168.1.169,10.0.0.2,TCP,443,441,example.com,/dashboard,GET,session_token_abc,normal
2025-06-10T15:18:29.571287,192.168.1.247,10.0.0.82,TCP,443,111,newsportal.org,/login,GET,encrypted_data_xyz,normal
2025-06-10T15:18:29.581564,192.168.1.227,10.0.0.240,TCP,443,414,example.com,/dashboard,POST,encrypted_data_xyz,normal
2025-06-10T15:18:29.592145,192.168.1.226,10.0.0.43,TCP,443,147,securebank.com,/,GET,session_token_abc,normal
2025-06-10T15:18:29.602709,192.168.1.135,10.0.0.242,TCP,80,193,example.com,/login,POST,email=user@example.com&pass=secret,normal
2025-06-10T15:18:29.613312,192.168.1.249,10.0.0.219,TCP,80,283,darkmarket.onion,/products,GET, email=user@valid.com ,normal
2025-06-10T15:18:29.623786,192.168.1.181,10.0.0.223,TCP,443,406,example.com,/dashboard,POST,session_token_abc,normal
2025-06-10T15:18:29.634015,192.168.1.165,10.0.0.100,TCP,80,285,socialmedia.net,/search?q=data,GET,,normal
2025-06-10T15:18:29.644631,192.168.1.104,10.0.0.38,TCP,443,382,socialmedia.net,/search?q=data,GET,jwt_token_hash,normal
2025-06-10T15:18:29.655192,192.168.1.69,10.0.0.151,TCP,443,185,hiddenforum.onion,/,GET,session_token_abc email=malformed_email.com ,normal
2025-06-10T15:18:29.665567,192.168.1.10,10.0.0.223,TCP,443,340,api.service.com,/products,GET,session_token_abc,normal
2025-06-10T15:18:29.676026,192.168.1.14,10.0.0.222,TCP,80,123,example.com,/search?q=data,GET,,normal
2025-06-10T15:18:29.686206,192.168.1.172,10.0.0.175,TCP,80,267,api.service.com,/submit,GET,,normal
2025-06-10T15:18:29.696611,192.168.1.111,10.0.0.51,TCP,80,93,newsportal.org,/,GET, link=htp://badlink.com ,normal
2025-06-10T15:18:29.707015,192.168.1.128,10.0.0.70,TCP,80,430,api.service.com,/search?q=data,GET,jwt_token_hash,normal
2025-06-10T15:18:29.717364,192.168.1.152,10.0.0.163,TCP,80,154,api.service.com,/dashboard,POST,email=user@example.com&pass=secret,normal
2025-06-10T15:18:29.727880,192.168.1.98,10.0.0.185,TCP,443,458,example.com,/submit,GET,,normal
